Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades 
531539,RISHDIGA,X,16.8,17.95,16.25,16.3,610,0.1,9
531416,NARPROP,X,15.6,17.15,15.6,17.05,604,0.1,13
531346,EASTRED,X,32.85,32.85,30,31.75,324,0.1,25
530259,INTSTOIL,X,24.8,24.8,22.9,23.35,428,0.1,21
523021,RISHITECH,X,24.15,24.15,24,24.05,419,0.1,6
524564,GAYATRIBI,XT,7.15,7.49,7.15,7.29,1380,0.1,35
500343,AMJLAND,B,27.45,27.5,26.45,26.45,360,0.1,12
511626,RRFIN,XT,10.05,10.1,9.26,9.26,1007,0.1,18
512587,ZODJRDMKJ,X,41.7,41.7,38.45,40.25,269,0.1,15
517230,PAEL,X,6.99,6.99,6.5,6.7,1544,0.1,10
514144,UNIWORTH,XT,0.99,1.03,0.98,1.03,10096,0.1,38
514274,AARVEEDEN,B,24.4,24.4,23.35,23.4,414,0.1,38
514484,THAMBBI,XT,13.33,13.33,13.33,13.33,657,0.09,1
517077,INDAGIV,XT,42.9,45,42.9,45,202,0.09,4
519353,BANSTEA,ZP,9.82,9.82,9.82,9.82,900,0.09,1
511716,ESCORTSFIN,XT,5.83,5.83,5.83,5.83,1555,0.09,4
509597,HARDCAS,XT,418,418,388.35,406.85,23,0.09,5
500356,RAMANEWS,B,13.48,13.5,13.25,13.3,660,0.09,22
500191,HMT,Z,28.4,28.4,28,28.15,303,0.09,5
524580,PRIYALT,XT,17.3,17.3,17.19,17.19,509,0.09,7
524414,NORRIS,XT,12.9,13.25,12.86,12.86,715,0.09,23
524480,RIDDHI,X,335.1,335.5,335.1,335.5,28,0.09,5
524336,SHHARICH,X,46.75,48.15,45.9,48.15,205,0.09,7
523120,ADORMUL,X,59.5,59.5,55.1,55.2,163,0.09,11
530213,FORINTL,XT,32,32,30.4,31.3,291,0.09,20
526717,HPBL,Z,294.9,294.9,285,289,30,0.09,7
531017,ARISE,X,10.5,10.5,9.2,10,940,0.09,20
531210,COLINZ,XT,42,42.3,39.9,41.45,208,0.09,13
531099,CHECKPOINT,XT,4.72,4.72,4.72,4.72,2000,0.09,2
531600,GOGIACAP,XT,46.1,46.1,44,44,200,0.09,4
531686,ADVIKLA,XT,2,2,2,2,4510,0.09,4
532320,VAARAD,X,13.3,13.3,12.3,12.41,711,0.09,10
532723,MPDL,XT,27.55,27.55,25.1,25.1,335,0.09,9
